time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
180224,-0.9226592779159546,370,22,486,12.05,210,0.4619067311286926,0.07123880833387375,-1.9616908863186837,-0.001120730893489963,0.08726806640625,0.6436207294464111,0.2,0.0003,0.0063374247,0.1279606079478981
188416,-0.869009256362915,386,23,486,12.8,220,0.44811564683914185,0.05186546593904495,-1.930883052200079,-0.0001407916874086368,0.09129638671875,0.6323392987251282,0.2,0.0003,0.008335866,0.12836383819812908
196608,-1.081230640411377,404,24,486,13.26,230,0.4326804280281067,0.06404244899749756,-1.8898919174447655,-0.0016429799758043372,0.091357421875,0.619509220123291,0.2,0.0003,0.009908175,0.13524877819581888
204800,-0.8475854396820068,421,25,486,11.46,240,0.49799084663391113,0.071202352643013,-1.8461796502582728,-0.0015206110584585985,0.088232421875,0.6053892374038696,0.2,0.0003,0.0075974325,0.13350910100270993
212992,-0.9289923906326294,437,26,486,12.86,250,0.536087155342102,0.061489708721637726,-1.8143746093846858,-0.001151085875244462,0.10302734375,0.5979099273681641,0.2,0.0003,0.009085422,0.1149098946058075
221184,-0.9394790530204773,455,27,485,12.66,260,0.5219310522079468,0.05514925718307495,-1.7783966270275413,-0.0011913059680409787,0.10372314453125,0.5861751437187195,0.2,0.0003,0.007721223,0.1273788840335328
229376,-1.0510872602462769,472,28,485,12.95,270,0.5641382932662964,0.05797363072633743,-1.7355822578072548,-0.0005642390064167557,0.09991455078125,0.5735758543014526,0.2,0.0003,0.007556267,0.11455032996309455
237568,-0.8394744396209717,488,29,485,11.85,280,0.6222034096717834,0.04831817001104355,-1.7297483165748417,-0.0012399601449942566,0.0924560546875,0.5761808753013611,0.2,0.0003,0.00853091,0.11795504521869589
245760,-0.9237723350524902,505,30,485,13.49,290,0.595575213432312,0.07487154752016068,-1.7294084319844842,-2.2294798782240832e-05,0.09832763671875,0.5740749835968018,0.2,0.0003,0.0077533433,0.12145846169441939
253952,-0.8890671730041504,523,31,484,13.39,300,0.5404298305511475,0.045610349625349045,-1.7216453013010322,-0.0017755974667124975,0.1033935546875,0.571633517742157,0.2,0.0003,0.008608984,0.13433356425666715
262144,-1.0038565397262573,540,32,485,12.78,310,0.5833221673965454,0.0485096275806427,-1.6908393536694348,-0.0005970446034552878,0.0941162109375,0.561005711555481,0.2,0.0003,0.010069419,0.12734198072575964
270336,-1.0016287565231323,556,33,485,12.5,320,0.5213602781295776,0.05582395941019058,-1.655489289853722,-0.0002841108391294256,0.10853271484375,0.5496556758880615,0.2,0.0003,0.008289946,0.12177517472446198
278528,-0.9407289028167725,574,34,484,13.27,330,0.5936726331710815,0.041890740394592285,-1.627013186365366,-0.0001025630719595938,0.10396728515625,0.5448499917984009,0.2,0.0003,0.00864229,0.12025989846442826
286720,-0.7694893479347229,591,35,485,11.99,340,0.6539782285690308,0.026486534625291824,-1.6180778441950678,-0.0009810417030166718,0.11500244140625,0.5445858240127563,0.2,0.0003,0.011834191,0.1178453703658306
294912,-0.7733347415924072,607,36,485,11.58,350,0.6307826042175293,0.04409901797771454,-1.5794712730683387,-0.0021530691052248584,0.121875,0.5274543762207031,0.2,0.0003,0.011166473,0.12120604296214879
303104,-0.7801902294158936,625,37,484,12.28,360,0.600631833076477,0.03420450538396835,-1.5374129422940315,0.0008289797655379516,0.0899658203125,0.5210835933685303,0.2,0.0003,0.0082529,0.11224316795705817
