episode,return_prisoner,return_guards_mean,outcome,length
578,1.0,1.0,captured,12
579,1.0,1.0,captured,10
580,1.0,1.0,captured,13
581,1.0,1.0,captured,13
582,-1.0,-1.0,escaped,5
583,1.0,1.0,captured,7
584,1.0,1.0,captured,8
585,1.0,1.0,captured,14
586,1.0,1.0,captured,24
587,1.0,1.0,captured,11
588,1.0,1.0,captured,13
589,1.0,1.0,captured,11
590,1.0,1.0,captured,10
591,1.0,1.0,captured,14
592,1.0,1.0,captured,9
593,1.0,1.0,captured,17
594,-1.0,-1.0,escaped,6
595,1.0,1.0,captured,13
596,1.0,1.0,captured,13
597,1.0,1.0,captured,11
598,-1.0,-1.0,escaped,8
599,1.0,1.0,captured,9
600,1.0,1.0,captured,7
601,-1.0,-1.0,escaped,11
602,1.0,1.0,captured,11
603,1.0,1.0,captured,13
604,-1.0,-1.0,escaped,15
605,1.0,1.0,captured,19
606,1.0,1.0,captured,12
607,1.0,1.0,captured,12
608,1.0,1.0,captured,10
609,1.0,1.0,captured,11
610,1.0,1.0,captured,13
611,1.0,1.0,captured,15
612,-1.0,-1.0,escaped,12
613,1.0,1.0,captured,5
614,1.0,1.0,captured,15
615,1.0,1.0,captured,7
616,1.0,1.0,captured,9
617,1.0,1.0,captured,13
618,1.0,1.0,captured,12
619,1.0,1.0,captured,20
620,1.0,1.0,captured,12
621,1.0,1.0,captured,10
622,1.0,1.0,captured,13
623,1.0,1.0,captured,18
624,1.0,1.0,captured,15
625,-1.0,-1.0,escaped,12
626,-1.0,-1.0,escaped,6
627,1.0,1.0,captured,13
628,1.0,1.0,captured,9
629,1.0,1.0,captured,12
630,1.0,1.0,captured,13
631,1.0,1.0,captured,16
632,1.0,1.0,captured,9
633,1.0,1.0,captured,5
634,1.0,1.0,captured,14
635,1.0,1.0,captured,8
636,1.0,1.0,captured,9
637,1.0,1.0,captured,8
638,1.0,1.0,captured,12
639,-1.0,-1.0,escaped,8
640,1.0,1.0,captured,13
641,1.0,1.0,captured,8
642,1.0,1.0,captured,2
643,1.0,1.0,captured,12
644,1.0,1.0,captured,8
645,1.0,1.0,captured,8
646,1.0,1.0,captured,12
647,1.0,1.0,captured,12
648,1.0,1.0,captured,4
649,-1.0,-1.0,escaped,3
650,1.0,1.0,captured,19
651,1.0,1.0,captured,11
652,1.0,1.0,captured,10
653,1.0,1.0,captured,7
654,1.0,1.0,captured,12
655,1.0,1.0,captured,8
656,1.0,1.0,captured,9
657,1.0,1.0,captured,10
658,1.0,1.0,captured,10
659,1.0,1.0,captured,12
660,1.0,1.0,captured,9
661,1.0,1.0,captured,13
662,1.0,1.0,captured,13
663,1.0,1.0,captured,8
664,-1.0,-1.0,escaped,9
665,1.0,1.0,captured,12
666,1.0,1.0,captured,10
667,1.0,1.0,captured,11
668,1.0,1.0,captured,7
669,1.0,1.0,captured,9
670,-1.0,-1.0,escaped,11
671,1.0,1.0,captured,14
672,1.0,1.0,captured,18
673,1.0,1.0,captured,5
674,1.0,1.0,captured,10
675,-1.0,-1.0,escaped,5
676,1.0,1.0,captured,8
677,1.0,1.0,captured,20
678,1.0,1.0,captured,11
679,-1.0,-1.0,escaped,12
680,-1.0,-1.0,escaped,4
681,1.0,1.0,captured,13
682,-1.0,-1.0,escaped,4
683,1.0,1.0,captured,8
684,1.0,1.0,captured,9
685,1.0,1.0,captured,11
686,-1.0,-1.0,escaped,6
687,1.0,1.0,captured,9
688,1.0,1.0,captured,9
689,1.0,1.0,captured,9
690,1.0,1.0,captured,15
691,1.0,1.0,captured,9
692,1.0,1.0,captured,8
693,1.0,1.0,captured,16
694,1.0,1.0,captured,12
695,-1.0,-1.0,escaped,10
696,1.0,1.0,captured,10
697,1.0,1.0,captured,12
698,1.0,1.0,captured,10
